"accuratePass" "lostCorners" "goalsConceded" "saves" "penaltyFaced" "goalKicks" "totalPass" "gameStarted" "totalTackle" "penGoalsConceded" "minsPlayed" "totalClearance" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "blockedScoringAtt" "totalScoringAtt" "totalThrows" "totalSubOff" "shotOffTarget" "wonCorners" "cornerTaken" "penaltyConceded" "yellowCard" "ontargetScoringAtt" "fouls" "wonTackle" "wasFouled" "goals" "totalSubOn" "stats[2, ]" "totalOffside" "local" "id_partido" "penaltyWon" "goalAssist" "cleanSheet" "ownGoals" "penaltySave" "secondYellow" "redCard"
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-08Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "ainli27xiinwmtncalaagu9qt" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA FALSE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
"5" NA "1" NA NA NA "6" NA NA NA "37" NA "0" "2018-08-08Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "10d8jj5vwrmib55tth0isfvft" "Substitute" NA NA NA NA NA NA NA NA NA NA "1" NA "2" NA "1" NA "1" FALSE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
"2" NA "1" NA NA NA "3" NA NA NA "6" NA "0" "2018-08-08Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "40drqeciuqe2j07g5cnc6xf55" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1" NA NA FALSE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-08Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "dtug7lsozk7zdhf415pp3s25l" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA FALSE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-08Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "bo5e35lsptja0pnlvk1y38dex" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA FALSE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-08Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "8zpj2ov0kc2d7a2b14ys2y8dl" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA FALSE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-08Z" "6gjmodlcevrbgbmjlmrx65sui" "England U20" "20ccu2ngcfo3cvczhzk682ju1" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA FALSE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
"17" "1" "2" "2" NA "4" "20" "1" NA NA "90" "2" "1" "2018-08-12Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "8f3qqvu7m3xlda67xcfi7ktex" "Goalkeeper" NA NA NA NA NA NA NA NA NA NA NA NA "2" NA NA NA NA TRUE "diflsmqqluvvtcae0pp24fecq" NA NA NA NA NA NA NA
"22" NA "1" NA NA NA "33" "1" NA NA "45" NA "3" "2018-08-12Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "djs5syjzqdeh70g1xkzmbvld5" "Defender" NA NA "9" "1" NA NA NA NA NA NA NA NA "1" NA NA NA NA TRUE "diflsmqqluvvtcae0pp24fecq" NA NA NA NA NA NA NA
"49" NA "1" NA NA NA "54" "1" "1" NA "45" "3" "6" "2018-08-12Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "1ofsz5y4wb4pt6xp0u06hc5pl" "Defender" NA NA NA "1" NA NA NA NA NA NA NA "1" "1" NA NA NA NA TRUE "diflsmqqluvvtcae0pp24fecq" NA NA NA NA NA NA NA
