"accuratePass" "saves" "goalKicks" "totalPass" "gameStarted" "cleanSheet" "minsPlayed" "totalClearance" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "wonTackle" "totalThrows" "totalTackle" "wasFouled" "fouls" "lostCorners" "totalSubOff" "ontargetScoringAtt" "totalScoringAtt" "totalOffside" "blockedScoringAtt" "stats[2, ]" "totalSubOn" "shotOffTarget" "local" "id_partido" "wonCorners" "yellowCard" "cornerTaken" "goalsConceded" "penaltyFaced" "penGoalsConceded" "penaltyConceded" "goalAssist" "goals" "ownGoals" "penaltyWon" "penaltySave" "secondYellow" "redCard"
"11" NA NA "21" "1" NA "90" NA "9" "2019-06-13Z" "7evyxk129dpli7omdned6cjzo" "Australia" "66f0rjs4c2yih8phn6meyj74l" "Striker" "3" NA "5" NA "1" NA NA "2" "4" NA NA NA NA "2" TRUE "dsyifrtep6rjd96xbhu35vfqi" NA NA NA "2" NA "1" NA NA NA NA NA NA NA NA
"13" NA NA "19" "1" NA "72" "1" "10" "2019-06-13Z" "7evyxk129dpli7omdned6cjzo" "Australia" "dcv449u8n6hvahqbgdjwuidw5" "Striker" "3" NA "5" NA NA "1" "1" "1" "1" NA NA NA NA NA TRUE "dsyifrtep6rjd96xbhu35vfqi" "1" NA NA "2" NA "1" NA "1" NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-13Z" "7evyxk129dpli7omdned6cjzo" "Australia" "13x3ni2z3xpc7rlwveslbmuvp" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "dsyifrtep6rjd96xbhu35vfqi" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-13Z" "7evyxk129dpli7omdned6cjzo" "Australia" "68a0jc6cin6hxx0bkdch9hc5x" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "dsyifrtep6rjd96xbhu35vfqi" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-13Z" "7evyxk129dpli7omdned6cjzo" "Australia" "885jvnz4souxd86bsrjr3qdat" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "dsyifrtep6rjd96xbhu35vfqi" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-13Z" "7evyxk129dpli7omdned6cjzo" "Australia" "e3n8fh86gv7xkw2zi6jlqelzp" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "dsyifrtep6rjd96xbhu35vfqi" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-13Z" "7evyxk129dpli7omdned6cjzo" "Australia" "dxyigy3ewt0c9xp5mqo0hh51x" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "dsyifrtep6rjd96xbhu35vfqi" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-13Z" "7evyxk129dpli7omdned6cjzo" "Australia" "6uncwzelwxah4myhp8nzh63md" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "dsyifrtep6rjd96xbhu35vfqi" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-13Z" "7evyxk129dpli7omdned6cjzo" "Australia" "eoaatjzu9qaoxcb5kzkya5dcl" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "dsyifrtep6rjd96xbhu35vfqi" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" NA NA "5" NA NA "18" NA "0" "2019-06-13Z" "7evyxk129dpli7omdned6cjzo" "Australia" "1to70vfsch5kwvw3kjgo1iggl" "Substitute" "1" NA "1" NA NA NA NA NA NA NA NA NA "1" NA TRUE "dsyifrtep6rjd96xbhu35vfqi" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
