"accuratePass" "goalsConceded" "saves" "goalKicks" "totalPass" "gameStarted" "minsPlayed" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "wonTackle" "yellowCard" "totalThrows" "totalTackle" "fouls" "wasFouled" "lostCorners" "totalClearance" "ontargetScoringAtt" "totalScoringAtt" "shotOffTarget" "wonCorners" "blockedScoringAtt" "totalSubOff" "cornerTaken" "goals" "stats[2, ]" "totalSubOn" "local" "id_partido" "ownGoals" "totalOffside" "goalAssist" "penaltyFaced" "penGoalsConceded" "penaltyConceded" "penaltyWon" "redCard" "cleanSheet" "secondYellow" "penaltySave"
NA NA NA NA NA NA NA NA "2019-06-04Z" "1qk78ws04kb0mqj4nnwx7my0p" "Mali U20" "ahv7cwytku1n7jwn3qx2ohqwa" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA FALSE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
"13" "1" NA NA "17" NA "34" "0" "2019-06-04Z" "1qk78ws04kb0mqj4nnwx7my0p" "Mali U20" "1cymr8nuh9bzfcvc7vnkafuju" "Substitute" NA NA NA NA "3" "1" NA NA NA "1" "1" NA NA NA NA NA NA "1" FALSE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
"1" NA NA NA "5" NA "13" "0" "2019-06-04Z" "1qk78ws04kb0mqj4nnwx7my0p" "Mali U20" "c6jxzuptdfxwef5acxim76lpm" "Substitute" NA NA NA NA NA "2" NA NA NA NA NA NA NA NA NA NA NA "1" FALSE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
"5" "1" NA NA "9" NA "47" "0" "2019-06-04Z" "1qk78ws04kb0mqj4nnwx7my0p" "Mali U20" "5v5jv44a8y2n7p1tb8jsxt2ei" "Substitute" NA NA "3" NA "1" "1" "1" "1" "1" "1" NA NA NA NA NA NA NA "1" FALSE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
"22" "2" "5" "5" "25" "1" "90" "1" "2019-05-25Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "4uird4b63fa9biw28s6asegvd" "Goalkeeper" NA NA NA NA NA "1" NA NA NA NA NA NA NA NA NA NA NA NA TRUE "6u5bqs3abt4hpb7n60nmw1aay" NA NA NA "1" "1" NA NA NA NA NA NA
"41" "2" NA NA "43" "1" "90" "3" "2019-05-25Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "ch0a4pjl5j095773ajdm9pn56" "Defender" NA NA "6" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA TRUE "6u5bqs3abt4hpb7n60nmw1aay" NA NA NA NA "1" NA NA NA NA NA NA
"50" "2" NA NA "54" "1" "90" "6" "2019-05-25Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "br7zigajqee6fms35zhm1sb8p" "Defender" "1" NA NA "2" "2" NA "3" "1" NA NA NA NA NA NA NA NA NA NA TRUE "6u5bqs3abt4hpb7n60nmw1aay" NA NA NA NA "1" "1" NA NA NA NA NA
"57" "2" NA NA "64" "1" "90" "5" "2019-05-25Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "4h1jj93i0v1pfemnjydnoc0dl" "Defender" "1" "1" "1" "1" "1" NA NA "1" NA "1" "1" NA NA NA NA NA NA NA TRUE "6u5bqs3abt4hpb7n60nmw1aay" NA NA "1" NA "1" NA NA NA NA NA NA
"39" "2" NA NA "46" "1" "90" "2" "2019-05-25Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "1f31thx3fu98rzo1srsc57cyy" "Defender" "2" NA "13" "2" NA "1" "1" "1" NA NA NA "1" NA NA NA NA NA NA TRUE "6u5bqs3abt4hpb7n60nmw1aay" NA NA NA NA "1" NA NA NA NA NA NA
"61" "2" NA NA "66" "1" "90" "4" "2019-05-25Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "wkuyizd9nk64l9f1yjx6qtbd" "Defensive Midfielder" NA NA "1" NA "3" NA NA NA "2" "2" NA NA NA NA NA "1" NA NA TRUE "6u5bqs3abt4hpb7n60nmw1aay" NA NA NA NA "1" NA NA NA NA NA NA
