"accuratePass" "penaltyConceded" "goalsConceded" "penaltyFaced" "goalKicks" "totalPass" "gameStarted" "penGoalsConceded" "minsPlayed" "fouls" "totalClearance" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "wonTackle" "totalThrows" "totalTackle" "wonCorners" "yellowCard" "totalScoringAtt" "shotOffTarget" "wasFouled" "lostCorners" "totalOffside" "totalSubOff" "cornerTaken" "ontargetScoringAtt" "blockedScoringAtt" "stats[2, ]" "totalSubOn" "redCard" "local" "id_partido" "saves" "cleanSheet" "goals" "penaltyWon" "goalAssist" "secondYellow" "penaltySave" "ownGoals"
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-20Z" "cjswvnp4xja7dif9gz2op9r4d" "England U20" "8d04q3yp2kouwog0lj0s7ew2x" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
"2" NA NA NA NA "4" NA NA "23" NA "1" "0" "2017-05-20Z" "cjswvnp4xja7dif9gz2op9r4d" "England U20" "dzsd79k6345s9105mb2r4fqol" "Substitute" NA NA "2" NA NA NA NA "2" NA NA NA NA NA NA NA "1" NA FALSE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
"3" NA NA NA NA "4" NA NA "16" NA "1" "0" "2017-05-20Z" "cjswvnp4xja7dif9gz2op9r4d" "England U20" "83n6uee0egley0s9rzjq1x905" "Substitute" "2" NA "2" NA NA NA NA NA NA NA NA NA NA NA NA "1" NA FALSE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-20Z" "cjswvnp4xja7dif9gz2op9r4d" "England U20" "dtl2jirk97xct4idsoj2vxbs9" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-20Z" "cjswvnp4xja7dif9gz2op9r4d" "England U20" "2uiza5b6fbum38chxtvmnkzqh" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA FALSE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
"11" NA "1" "1" "8" "30" "1" "1" "90" NA "4" "1" "2017-05-24Z" "4w76p408061aodqkpdgew48xk" "Costa Rica U20" "5k358yk19njlhygr4mjlc1eqx" "Goalkeeper" NA NA NA NA "1" NA NA NA NA NA NA NA NA NA NA NA NA TRUE "xgm9uzzhpov2ejxtwhzls3c9" "3" NA NA NA NA NA NA NA
"18" "1" "1" NA NA "34" "1" "1" "90" "1" "2" "4" "2017-05-24Z" "4w76p408061aodqkpdgew48xk" "Costa Rica U20" "66uswc8443ux22qxazug7d815" "Defender" "2" "10" "2" NA NA "1" "1" "1" NA NA NA NA NA NA NA NA NA TRUE "xgm9uzzhpov2ejxtwhzls3c9" NA NA NA NA NA NA NA NA
"20" NA "1" NA NA "24" "1" "1" "90" NA "1" "5" "2017-05-24Z" "4w76p408061aodqkpdgew48xk" "Costa Rica U20" "2ypljgvjkcnh54aoaa0mtp33d" "Defender" "1" NA "1" NA NA NA NA "2" NA NA NA NA NA NA NA NA NA TRUE "xgm9uzzhpov2ejxtwhzls3c9" NA NA NA NA NA NA NA NA
"14" NA "1" NA NA "18" "1" "1" "54" NA "6" "6" "2017-05-24Z" "4w76p408061aodqkpdgew48xk" "Costa Rica U20" "3gaoqrkf73134kvk2a023coa1" "Defender" NA "5" NA NA NA NA NA NA NA NA "1" NA NA NA NA NA NA TRUE "xgm9uzzhpov2ejxtwhzls3c9" NA NA NA NA NA NA NA NA
"20" NA "1" NA NA "29" "1" "1" "90" "2" "1" "3" "2017-05-24Z" "4w76p408061aodqkpdgew48xk" "Costa Rica U20" "8243fpjmbs5kespadpl8a104p" "Midfielder" "2" "7" "2" "1" NA NA NA "3" "1" NA NA "1" NA NA NA NA NA TRUE "xgm9uzzhpov2ejxtwhzls3c9" NA NA NA NA NA NA NA NA
