"accuratePass" "goalsConceded" "saves" "goalKicks" "totalPass" "gameStarted" "minsPlayed" "totalClearance" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "wonTackle" "lostCorners" "totalScoringAtt" "totalThrows" "totalTackle" "shotOffTarget" "fouls" "wasFouled" "ontargetScoringAtt" "goals" "totalSubOff" "wonCorners" "yellowCard" "cornerTaken" "totalSubOn" "stats[2, ]" "local" "id_partido" "blockedScoringAtt" "totalOffside" "goalAssist" "cleanSheet" "ownGoals" "redCard" "penaltyFaced" "penGoalsConceded" "penaltyConceded" "penaltyWon" "penaltySave" "secondYellow"
NA NA NA NA NA NA NA NA NA "2017-10-25Z" "4p54fnh38jynbaf542rfs0146" "England U17" "7nivkfkngr374fx5totgektm1" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" FALSE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
"3" NA NA NA "5" NA "3" NA "0" "2017-10-25Z" "4p54fnh38jynbaf542rfs0146" "England U17" "50da6kwm97iyc2ycafwnsao6h" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1" NA FALSE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-25Z" "4p54fnh38jynbaf542rfs0146" "England U17" "f3zl8ymo5ttze20sffzk044q1" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" FALSE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
"8" NA NA NA "12" NA "22" NA "0" "2017-10-25Z" "4p54fnh38jynbaf542rfs0146" "England U17" "4ali7e2nk26rfzr0660xdrx0p" "Substitute" "1" NA NA NA "3" NA NA NA NA NA NA NA NA NA "1" NA FALSE "e2l76382fu3p92fi1kcf2qne" NA NA "1" NA NA NA NA NA NA NA NA NA
"14" NA "1" "6" "15" "1" "90" "1" "1" "2017-10-18Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "1xby8xmlvh1g5j4sw2eorcl49" "Goalkeeper" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA TRUE "12982n4mfgfxgyd29qdxz5roq" NA NA NA "1" NA NA NA NA NA NA NA NA
"9" NA NA NA "12" "1" "45" NA "3" "2017-10-18Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "avrafbh1kctz4io6h1fthedih" "Defender" "2" NA NA "2" "3" NA NA NA NA NA "1" NA NA NA NA NA TRUE "12982n4mfgfxgyd29qdxz5roq" NA NA NA NA NA NA NA NA NA NA NA NA
"145" NA NA NA "150" "1" "90" "1" "6" "2017-10-18Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "4nxwulhcslrexfhyo83lj8kix" "Defender" "1" NA NA NA "1" NA NA NA NA NA NA NA NA NA NA NA TRUE "12982n4mfgfxgyd29qdxz5roq" NA NA NA "1" NA NA NA NA NA NA NA NA
"148" NA NA NA "153" "1" "90" "1" "5" "2017-10-18Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "cvaxfefhg7om26x0gnqnpw3xl" "Defender" NA NA NA NA NA NA "1" NA NA NA NA NA NA NA NA NA TRUE "12982n4mfgfxgyd29qdxz5roq" NA NA NA "1" NA NA NA NA NA NA NA NA
"24" NA NA NA "29" "1" "74" NA "2" "2017-10-18Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "94vz9l4bhvsvs9909kksvs3qh" "Defender" "3" NA "1" "5" "5" "1" NA "1" NA NA "1" NA NA NA NA NA TRUE "12982n4mfgfxgyd29qdxz5roq" NA "1" "1" NA NA NA NA NA NA NA NA NA
"91" NA NA NA "100" "1" "90" "2" "4" "2017-10-18Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "d7k81mlt4vh9lex8fd10tigh5" "Defensive Midfielder" "2" NA NA NA "2" NA "2" "1" NA NA NA NA NA NA NA NA TRUE "12982n4mfgfxgyd29qdxz5roq" NA NA NA "1" NA NA NA NA NA NA NA NA
